﻿F1户型，精装修没住过，带小院地上两层，地下一层，有钥匙,39.7496330312122,116.54030923043678,2008年,826,2018-10-10,41700417,3室2厅2卫,底层/5层,集中供暖,239.1平米
﻿森林公园边上 单价低 业主换房诚意出售,40.006657180030988,116.40938417319014,2001年,750,2018-10-20,41788606,3室2厅2卫,低楼层/27层,自供暖,129.59平米
﻿柏林爱乐四期、南北新上三居室、居家好房子、欢迎看房,39.92371435276894,116.58481195828239,2009年,830,2018-10-13,41733561,3室2厅2卫,高楼层/8层,集中供暖,131.01平米
﻿高档小区 中高楼层 采光好 满五年一套 送产权车位,39.921035493916978,116.50457932634413,2009年,896,2018-10-24,41816668,3室2厅2卫,中楼层/16层,集中供暖,138.72平米
﻿新地标新上正规三居室满五年 20中 采光好 诚意出售,40.03429747990113,116.34864489532565,2003年,850,2018-10-22,41800645,3室2厅2卫,高楼层/32层,自供暖,141.38平米
﻿阳光水岸 带电梯复试上下两层 精装修 楼龄新,40.13820508559864,116.65815874564079,2011年,700,2018-10-13,41735174,3室2厅2卫,高楼层/20层,集中供暖,167.67平米
﻿明厨明卫，中楼层，看房子提前预约，有租户,39.76486821019573,116.33628908835679,2012年,760,2018-10-11,41713565,3室2厅2卫,中楼层/14层,自供暖,138.04平米
﻿合生滨江帝景三居精装 电梯好户型,39.88888731210787,116.69550277444374,,860,2018-10-10,41708081,3室2厅2卫,中楼层/20层,集中供暖,138.12平米
﻿客厅带7.8平大阳台，宽广明亮，明厨明卫,39.76486821019573,116.33628908835679,2012年,735,2018-09-23,41590443,3室2厅2卫,中楼层/12层,自供暖,138.04平米
﻿朝阳常营万象天际南北通透全明格局大落地窗三居,39.93147042184093,116.59737560676186,2009年,888,2018-10-13,41736282,3室2厅2卫,高楼层/20层,集中供暖,160.2平米
﻿南北超大客厅三居室户型方正，高楼层采光视野好，三环边人车分流,39.85766064963125,116.44063140633975,2005年,780,2018-10-23,41811788,3室1厅1卫,高楼层/17层,自供暖,132.58平米
﻿国美2号院小区中间位置 满五唯一 保养好,39.934330036099549,116.51312018522556,2006年,730,2018-10-23,41809047,3室2厅2卫,低楼层/27层,集中供暖,114.48平米
﻿北洼路28号院 精装三居室 高楼层 看房随时,39.93705887701652,116.30466097175955,1998年,880,2018-10-23,41807966,3室1厅1卫,高楼层/18层,集中供暖,112.85平米
﻿合生滨江帝景三居  精装修 户型方正,39.88888731210787,116.69550277444374,2014年,860,2018-10-21,41794174,3室2厅2卫,高楼层/29层,集中供暖,155.18平米
﻿红木林 环境好 高楼层 格局好送30多平米,39.754134274594139,116.32519582067444,2006年,735,2018-10-20,41789768,3室2厅2卫,高楼层/28层,集中供暖,110.23平米
﻿绿地中央广场三室二厅两卫看房有钥匙。,40.07324309875019,116.13161658484137,2016年,780,2018-10-20,41786984,3室2厅2卫,中楼层/12层,集中供暖,129.74平米
﻿经典小洋房，一梯两户的南北小三居,39.85578777425473,116.395121378802,2004年,810,2018-10-16,41759090,3室2厅2卫,中楼层/11层,集中供暖,134.53平米
﻿丰益花园东区  近公园  业主诚心出售,39.85964526421393,116.31111666783412,2003年,860,2018-10-23,41813826,3室2厅2卫,低楼层/28层,自供暖,144.8平米
﻿南湖东园一区新出的低层三居，适合老人一家三口，真好！,40.0031706429436,116.46522988704474,1999年,860,2018-10-20,41790588,3室2厅2卫,底层/7层,集中供暖,121.2平米
﻿西四环双卫三居阳光房，中间层带车位,39.881356513956109,116.26966677414096,2004年,700,2018-10-20,41789153,3室2厅2卫,中楼层/23层,集中供暖,119.06平米
﻿和成璟园 南北通透三居室 带地下室 有本,39.82601038925267,116.52882969348497,,780,2018-10-19,41784160,3室2厅2卫,底层/15层,自供暖,176.76平米
﻿冬季星空全明格局3居出售,39.84483489558207,116.3640388999772,2005年,850,2018-10-17,41764549,3室2厅2卫,中楼层/21层,集中供暖,122.19平米
﻿全南向复式，大三居，科怡路,39.83468322688625,116.2933269048941,1999年,735,2018-10-13,41732623,3室2厅2卫,低楼层/18层,集中供暖,146.95平米
﻿首经贸万年二期，急售，随时看房，户型方正 好房不能错过,39.84554084645028,116.31681268346914,2006年,860,2018-07-18,41102883,3室2厅2卫,低楼层/11层,集中供暖,120.28平米
﻿常营万象新天一层带花园双卧客厅朝南6号线,39.929461587418128,116.59729523976778,2005年,858,2018-02-27,40032053,3室2厅2卫,底层/6层,自供暖,127.82平米
﻿新上！鸟巢东+亚运村大屯地铁安慧北里逸园高层大三居，阳光无敌,40.00024333848897,116.41394360057315,2000年,898,2018-10-13,41728508,3室2厅2卫,高楼层/26层,集中供暖,129.65平米
﻿星河苑1号院 精装三居室 户型棒 拎包入住 满五年一套住房,39.838531101892048,116.36941783583983,2008年,818,2018-09-23,41595678,3室1厅1卫,高楼层/20层,集中供暖,116.89平米
﻿北关商圈低总价大3居+运河商务区+6号线8哩岛温榆河畔洋房,39.93518652141264,116.64083785964164,,700,2018-10-17,41762650,3室2厅2卫,顶层/9层,集中供暖,158.37平米
﻿三环内 单独管理商品房小区 40平大客厅！,39.87898281248953,116.45862359762683,1998年,890,2018-10-22,41802749,3室2厅2卫,中楼层/22层,自供暖,163.53平米
